TransactionID,Sale_Date,Sale_Time,CustomerID,Gender,Customer_Age,Product_Category,Quantity_Sold,Unit_Price,Cost_Of_Goods_Sold,Total_Revenue
1000001,16-12-2020,19:10:00,100050,Male,34,Personal care,3,150,16,450
1000002,24-06-2020,10:07,1000104,Female,26,Pharmaceuticals,2,1500,135,3000
1000003,14-06-2020,07:08,1000114,Male,50,Furniture,1,130,8.1,130
1000004,27-08-2021,18:12,10003,Male,37,Pharmaceuticals,1,1500,200,1500
1000005,05-09-2021,22:10,10003,Male,30,Personal care,2,150,24,300
1000006,15-11-2021,22:16,10002,Female,45,Personal care,1,130,15,130
1000007,06-07-2021,06:24,100038,Male,46,Pharmaceuticals,2,125,13.25,250
1000008,27-12-2020,11:19,1000148,Male,30,Furniture,4,125,11,500
1000009,02-12-2020,13:12,100085,Male,63,Furniture,2,1300,78,2600
10000010,24-10-2020,22:55,100081,Female,52,Pharmaceuticals,4,150,62.5,600
10000011,27-02-2020,10:30,1000151,Male,23,Pharmaceuticals,2,150,23.5,300
10000012,09-12-2020,22:09,1000114,Male,35,Personal care,3,125,25.25,375
10000013,08-02-2021,17:43,1000106,Male,22,Furniture,3,1500,245,4500
10000014,18-05-2020,07:11,10008,Male,64,Pharmaceuticals,4,130,13.2,520
10000015,01-07-2020,11:50,100075,Female,42,Furniture,4,1500,210,6000
10000016,25-06-2020,10:33,100082,Male,19,Pharmaceuticals,3,1500,180,4500
10000017,25-02-2021,21:08,10003,Female,27,Pharmaceuticals,4,125,13,500
10000018,06-09-2021,19:13,10005,Female,47,Furniture,2,125,12.5,250
10000019,26-11-2021,19:39,100030,Female,62,Pharmaceuticals,2,125,28.5,250
10000020,12-12-2021,21:35,100085,Male,22,Pharmaceuticals,3,1300,345,3900
10000021,11-07-2020,07:33,100059,Female,50,Personal care,1,1500,275,1500
10000022,25-11-2021,17:11,100066,Male,18,Pharmaceuticals,2,150,60.5,300
10000023,28-09-2021,07:05,10004,Female,35,Pharmaceuticals,4,130,14.7,520
10000024,14-12-2021,22:59,100059,Female,49,Pharmaceuticals,1,1300,87,1300
10000025,20-11-2020,14:32,100061,Female,64,Personal care,1,150,19,150
10000026,14-10-2021,17:54,100051,Female,28,Furniture,2,1500,600,3000
10000027,14-12-2021,19:44,100039,Female,38,Personal care,2,125,8.25,250
10000028,11-12-2021,22:34,10003,Female,43,Personal care,1,1500,150,1500
10000029,08-03-2020,20:10,100031,Female,42,Furniture,1,130,13.5,130
10000030,10-10-2021,20:05,100059,Female,39,Personal care,3,1300,285,3900
10000031,31-12-2021,17:47,10003,Male,44,Furniture,4,1300,129,5200
10000032,16-07-2020,09:11,1000150,Male,30,Personal care,3,130,8.4,390
10000033,24-12-2021,07:40,100033,Female,50,Furniture,2,150,21,300
10000034,24-09-2021,13:26,100087,Female,51,Pharmaceuticals,3,150,17,450
10000035,29-10-2020,17:30,1000122,Female,58,Personal care,3,1300,126,3900
10000036,22-02-2021,22:06,100040,Male,52,Personal care,3,1300,144,3900
10000037,26-05-2021,22:42,10002,Female,18,Personal care,3,125,8.75,375
10000038,25-02-2021,11:39,1000147,Male,38,Personal care,4,150,26,600
10000039,11-07-2021,22:44,10005,Male,23,Pharmaceuticals,4,130,8.7,520
10000040,07-06-2020,21:33,100078,Male,45,Personal care,1,150,24.5,150
10000041,11-10-2020,10:36,100088,Male,34,Pharmaceuticals,2,125,13.25,250
10000042,08-12-2020,08:29,100063,Male,22,Pharmaceuticals,3,1300,147,3900
10000043,18-03-2021,21:42,1000118,Female,48,Pharmaceuticals,1,1300,111,1300
10000044,03-03-2020,11:07,100093,Female,22,Pharmaceuticals,1,125,11.75,125
10000045,20-03-2020,18:27,1000121,Female,55,Furniture,1,130,10.5,130
10000046,08-11-2020,17:50,100054,Female,20,Furniture,4,1300,84,5200
10000047,22-10-2020,17:22,100096,Female,40,Personal care,3,1500,600,4500
10000048,06-10-2021,17:34,10002,Male,54,Furniture,3,1300,123,3900
10000049,17-09-2020,10:33,100037,Female,54,Furniture,2,1500,255,3000
10000050,29-03-2020,18:51,100071,Female,27,Personal care,3,125,10.5,375
10000051,12-10-2020,22:09,100078,Male,27,Personal care,3,125,24.75,375
10000052,19-09-2020,09:42,100055,Female,36,Personal care,1,1300,111,1300
10000053,06-01-2020,17:57,100032,Male,34,Furniture,2,150,22,300
10000054,20-10-2020,10:17,1000142,Female,38,Furniture,3,1500,200,4500
10000055,28-09-2021,20:32,100057,Male,31,Personal care,4,130,31.8,520
10000056,27-12-2020,19:37,100097,Female,26,Pharmaceuticals,3,1300,120,3900
10000057,11-10-2020,20:12,100064,Female,63,Personal care,1,130,10.2,130
10000058,16-09-2021,19:18,100053,Male,18,Pharmaceuticals,4,1300,75,5200
